ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
6970	5773	5748	M	B	Bisphenol	39	159	245	311			1
7411	5897	5899	M	B	Control	34	156	245	313			1
2189	5794	5766	M	B	Control	34	131	219	314			2
7139	5855	5703	F	B	Genistein	36	147	210	315			1
6956	5751	5735	M	B	Bisphenol	37.7	152	234	315			1
6614	5761	5734	M	B	IC	34	154	232	318			1
6763	5793	5711	M	B	5Aza	42	165	248	319			1
7136	5781	5701	M	B	Genistein	38	152	234	320			1
1989	5709	5906	M	B	5Aza	27	123	211	321			2
6620	5926	5731	M	B	IC	47.3	188	275	321			1
7416	5884	5803	M	B	Control	39.1	148	224	322			1
1608	5758	5861	M	B	Bisphenol	35	155	242	324			2
6578	5855	5703	F	B	IC	35.2	147	200	326	49	22	1
2186	5868	5760	M	B	Control	34	148	240	326			2
1417	5761	5734	M	B	IC	35	144	230	326			2
6768	5939	5908	M	B	5Aza	36	138	230	326			1
6606	5826	5924	M	B	IC	36	164	239	327			1
6588	5788	5896	M	B	IC	41.3	166	237	328			1
1883	5888	5842	M	B	Genistein	32	143	232	329			2
1869	5761	5734	M	B	Genistein	36	149	243	329			2
7364	5808	5857	M	B	Control	37	152	243	329			1
2195	5846	5832	M	B	Control	38	161	243	329			2
1595	5709	5906	M	B	Bisphenol	33	141	235	330			2
7150	5873	5764	M	B	Genistein	35	157	258	330			1
2022	5744	5806	M	B	5Aza	41	168	265	330			2
2205	5788	5896	M	B	Control	42	160	261	330			2
6951	5933	5715	M	B	Bisphenol	47	172	237	330			1
1856	5939	5908	M	B	Genistein	25	121	202	331			2
7188	5884	5803	M	B	Genistein	27.3	188	216	331			1
1407	5939	5908	M	B	IC	30	120	216	331			2
1874	5926	5731	M	B	Genistein	40	155	243	331			2
7183	5897	5899	M	B	Genistein	43	173	246	331			1
1403	5772	5780	M	B	IC	45	170	262	332			2
6581	5885	5805	M	B	IC	36	140	227	333			1
6594	5873	5764	M	B	IC	38	154	238	333			1
7130	5894	5860	M	B	Genistein	38	149	221	334			1
1588	5771	5834	M	B	Bisphenol	39	160	263	334			2
7168	5719	5708	M	B	Genistein	40	162	241	334			1
6926	5781	5701	M	B	Bisphenol	43	155	242	334			1
1840	5855	5703	M	B	Genistein	34	135	215	336			2
1428	5822	5778	M	B	IC	41	168	258	336			2
6985	5884	5803	M	B	Bisphenol	38	161	252	337			1
7352	5827	5901	M	B	Control	38	165	236	338			1
2239	5926	5731	M	B	Control	40	152	238	338			2
6577	5855	5703	F	B	IC	38	161	219	339	47	23	1
1653	5817	5913	M	B	Bisphenol	41	161	239	339			2
2237	5941	5904	M	B	Control	37	149	225	340			2
2246	5791	5875	M	B	Control	44	161	243	340			2
7189	5884	5803	M	B	Genistein	35.3	149	240	341			1
6941	5873	5764	M	B	Bisphenol	35.5	157	243	341			1
1645	5761	5734	M	B	Bisphenol	38	152	242	341			2
6777	5773	5748	M	B	5Aza	39	150	223	341			1
6945	5934	5938	M	B	Bisphenol	43.2	181	258	341			1
2032	5941	5904	M	B	5Aza	31	136	225	342			2
1382	5758	5861	M	B	IC	39	160	245	342			2
6600	5933	5715	M	B	IC	43	174	252	342			1
6623	5944	5767	F	B	IC	34	154	239	343	52	18	1
1374	5709	5906	F	B	IC	38	160	235	343	52	24	2
6613	5719	5708	M	B	IC	34	147	238	343			1
2037	5791	5875	F	B	5Aza	37	166	263	344	69	7	2
2247	5897	5899	M	B	Control	42	169	249	344			2
6950	5939	5908	M	B	Bisphenol	37.7	144	234	345			1
1873	5941	5904	F	B	Genistein	39	145	241	346	54	22	2
1613	5855	5703	F	B	Bisphenol	32	133	195	346	49	27	2
6625	5864	5947	M	B	IC	43.8	167	250	346			1
1603	5794	5766	F	B	Bisphenol	30	142	224	347	52	22	2
1612	5738	5927	M	B	Bisphenol	40	162	245	347			2
7394	5744	5806	M	B	Control	42	160	257	347			1
2017	5933	5715	M	B	5Aza	45	168	286	347			2
7366	5885	5805	M	B	Control	33	132	222	348			1
1835	5943	5887	M	B	Genistein	39	163	261	348			2
1863	5917	5940	M	B	Genistein	41	159	254	348			2
1621	5799	5907	F	B	Bisphenol	40	159	237	349	52	24	2
7399	5761	5734	M	B	Control	36.6	159	247	349			1
1632	5751	5735	M	B	Bisphenol	43	161	240	349			2
1600	5877	5762	M	B	Bisphenol	44	163	243	349			2
7161	5744	5806	M	B	Genistein	45.6	174	247	349			1
6780	5926	5731	M	B	5Aza	39.5	152	237	350			1
1878	5897	5899	M	B	Genistein	41	168	255	350			2
1628	5933	5715	M	B	Bisphenol	41	163	239	350			2
7145	5919	5876	M	B	Genistein	37	150	243	351			1
7370	5919	5876	M	B	Control	37	152	237	351			1
2027	5858	5740	M	B	5Aza	40	155	225	351			2
7185	5822	5778	M	B	Genistein	40.2	164	254	351			1
6771	5744	5806	F	B	5Aza	47	153	238	351			1
1406	5939	5908	F	B	IC	37	149	235	353	58	18	2
7140	5855	5703	F	B	Genistein	32	136	213	353	51	19	1
7170	5784	5733	M	B	Genistein	34	154	243	353			1
6583	5919	5876	M	B	IC	40.2	156	260	353			1
7381	5793	5711	M	B	Control	42.1	164	257	353			1
1388	5808	5857	M	B	IC	39	159	235	354			2
1606	5781	5701	M	B	Bisphenol	43	167	271	354			2
1991	5867	5863	M	B	5Aza	49	174	241	354			2
1373	5709	5906	F	B	IC	34	139	225	355	53	23	2
6756	5794	5766	M	B	5Aza	35.6	150	226	355			1
2000	5856	5838	M	B	5Aza	41	162	242	355			2
2224	5744	5806	M	B	Control	43	164	259	355			2
1996	5781	5701	M	B	5Aza	51	172	272	355			2
1992	5868	5760	M	B	5Aza	34	144	225	356			2
7415	5884	5803	M	B	Control	44	176	260	356			1
7154	5934	5938	M	B	Genistein	47.9	186	275	356			1
2006	5919	5876	M	B	5Aza	37	146	134	357			2
2024	5917	5940	M	B	5Aza	38	146	245	357			2
1866	5858	5740	M	B	Genistein	41	167	244	357			2
1849	5799	5907	M	B	Genistein	43	164	246	357			2
1605	5794	5766	M	B	Bisphenol	31	153	253	358			2
7407	5944	5767	M	B	Control	38	161	244	358			1
1625	5793	5711	M	B	Bisphenol	38	150	238	358			2
2033	5941	5904	M	B	5Aza	38	147	230	358			2
2023	5744	5806	M	B	5Aza	43	166	260	358			2
6931	5919	5876	M	B	Bisphenol	39	150	239	360			1
7396	5917	5940	M	B	Control	41	157	227	360			1
6618	5773	5748	F	B	IC	46	165	252	361	54	16	1
1865	5936	5741	M	B	Genistein	44	171	261	361			2
6627	5822	5778	M	B	IC	44	164	229	361			1
1854	5772	5780	M	B	Genistein	45	163	240	361			2
6939	5799	5907	M	B	Bisphenol	38	157	247	362			1
7179	5944	5767	M	B	Genistein	38.8	148	225	362			1
1619	5878	5728	M	B	Bisphenol	39	173	250	362			2
6761	5799	5907	M	B	5Aza	40.2	174	260	362			1
6953	5729	5949	M	B	Bisphenol	42	150	229	362			1
1422	5783	5782	M	B	IC	45	182	277	362			2
1607	5781	5701	M	B	Bisphenol	50	192	277	362			2
1596	5709	5906	F	B	Bisphenol	32	140	226	364	52	24	2
2227	5917	5940	M	B	Control	41	162	255	364			2
7373	5788	5896	M	B	Control	42	180	263	364			1
7383	5934	5938	M	B	Control	43.6	173	269	364			1
1408	5933	5715	M	B	IC	48	175	250	364			2
7408	5944	5767	F	B	Control	33	138	220	365	54	18	1
1830	5868	5760	F	B	Genistein	36	151	231	365	53	23	2
1629	5933	5715	F	B	Bisphenol	44	157	234	366	54	23	2
1411	5744	5806	M	B	IC	32	148	263	366			2
6572	5856	5838	M	B	IC	39	167	252	366			1
6615	5784	5733	F	B	IC	33.7	132	233	367	55	16	1
6755	5894	5860	F	B	5Aza	35	138	233	367	54	18	1
1598	5867	5863	M	B	Bisphenol	38	153	254	367			2
6759	5878	5728	M	B	5Aza	42	163	244	367			1
2179	5709	5906	M	B	Control	39	161	264	368			2
7177	5926	5731	F	B	Genistein	40	150	229	369	55	13	1
1828	5709	5906	F	B	Genistein		144	233	369	56	21	2
