id	cage	line	date	hour	batch	count
7475	16	DD	08/12/2016	12	1	1
7475	16	DD	08/12/2016	13	1	1
7475	16	DD	09/12/2016	13	1	1
7475	16	DD	11/12/2016	9	1	1
7475	16	DD	12/12/2016	9	1	1
7475	16	DD	13/12/2016	11	1	1
7475	16	DD	14/12/2016	10	1	1
7475	16	DD	15/12/2016	11	1	1
7426	17	DD	25/11/2016	9	1	1
7426	17	DD	26/11/2016	11	1	1
7426	17	DD	27/11/2016	11	1	1
7426	17	DD	29/11/2016	14	1	1
7426	17	DD	30/11/2016	9	1	1
7426	17	DD	30/11/2016	10	1	1
7426	17	DD	01/12/2016	11	1	1
7426	17	DD	02/12/2016	8	1	1
7426	17	DD	03/12/2016	9	1	1
7426	17	DD	04/12/2016	9	1	1
7426	17	DD	05/12/2016	8	1	1
7426	17	DD	05/12/2016	9	1	1
7426	17	DD	06/12/2016	11	1	1
7426	17	DD	07/12/2016	9	1	1
7426	17	DD	08/12/2016	13	1	1
7426	17	DD	09/12/2016	13	1	1
7426	17	DD	10/12/2016	9	1	1
7426	17	DD	11/12/2016	9	1	1
7426	17	DD	12/12/2016	9	1	1
7426	17	DD	13/12/2016	11	1	1
7426	17	DD	14/12/2016	10	1	1
7426	17	DD	15/12/2016	11	1	1
6770	18	B	21/11/2016	8	1	1
6770	18	B	22/11/2016	8	1	1
6770	18	B	23/11/2016	9	1	1
6770	18	B	24/11/2016	8	1	1
6770	18	B	25/11/2016	9	1	1
6770	18	B	26/11/2016	11	1	1
6770	18	B	30/11/2016	9	1	1
6770	18	B	30/11/2016	10	1	1
6770	18	B	02/12/2016	8	1	1
6770	18	B	03/12/2016	9	1	1
6770	18	B	04/12/2016	9	1	1
6770	18	B	05/12/2016	9	1	1
6770	18	B	06/12/2016	11	1	1
6770	18	B	08/12/2016	12	1	1
6770	18	B	08/12/2016	13	1	1
6770	18	B	09/12/2016	13	1	1
6770	18	B	11/12/2016	9	1	1
6770	18	B	12/12/2016	9	1	1
6770	18	B	13/12/2016	11	1	1
6770	18	B	14/12/2016	10	1	1
6770	18	B	15/12/2016	11	1	1
6994	19	DD	02/12/2016	8	1	1
7089	20	A	21/11/2016	8	1	1
7451	21	DD	19/11/2016	8	1	1
7451	21	DD	20/11/2016	8	1	1
7451	21	DD	22/11/2016	8	1	1
7451	21	DD	23/11/2016	9	1	1
7451	21	DD	24/11/2016	8	1	1
7451	21	DD	25/11/2016	9	1	1
7451	21	DD	26/11/2016	11	1	1
7451	21	DD	27/11/2016	11	1	1
7451	21	DD	28/11/2016	9	1	1
7451	21	DD	29/11/2016	14	1	1
7451	21	DD	30/11/2016	10	1	1
7451	21	DD	01/12/2016	11	1	1
7451	21	DD	03/12/2016	9	1	1
7451	21	DD	04/12/2016	9	1	1
7451	21	DD	05/12/2016	9	1	1
7451	21	DD	06/12/2016	11	1	1
7451	21	DD	07/12/2016	9	1	1
7451	21	DD	08/12/2016	13	1	1
7451	21	DD	09/12/2016	13	1	1
7451	21	DD	10/12/2016	9	1	1
7451	21	DD	11/12/2016	9	1	1
7451	21	DD	12/12/2016	9	1	1
7451	21	DD	13/12/2016	11	1	1
7451	21	DD	14/12/2016	10	1	1
7451	21	DD	15/12/2016	11	1	1
7011	22	DD	22/11/2016	8	1	1
7011	22	DD	23/11/2016	9	1	1
7011	22	DD	25/11/2016	9	1	1
7011	22	DD	26/11/2016	9	1	1
7011	22	DD	27/11/2016	9	1	1
7011	22	DD	29/11/2016	14	1	1
7011	22	DD	30/11/2016	10	1	1
7011	22	DD	01/12/2016	11	1	1
7011	22	DD	03/12/2016	9	1	1
7011	22	DD	04/12/2016	9	1	1
7011	22	DD	05/12/2016	9	1	1
7011	22	DD	06/12/2016	11	1	1
7011	22	DD	07/12/2016	9	1	1
7011	22	DD	08/12/2016	13	1	1
7011	22	DD	09/12/2016	13	1	1
7011	22	DD	12/12/2016	9	1	1
7011	22	DD	14/12/2016	10	1	1
7011	22	DD	15/12/2016	11	1	1
6570	23	B	24/11/2016	8	1	1
6570	23	B	14/12/2016	10	1	1
6609	24	B	19/11/2016	8	1	1
6609	24	B	20/11/2016	8	1	1
6609	24	B	21/11/2016	7	1	1
6609	24	B	21/11/2016	8	1	1
6609	24	B	22/11/2016	8	1	1
6609	24	B	23/11/2016	9	1	1
6609	24	B	24/11/2016	8	1	1
6609	24	B	25/11/2016	9	1	1
6609	24	B	26/11/2016	11	1	1
6609	24	B	27/11/2016	11	1	1
6609	24	B	28/11/2016	9	1	1
6609	24	B	29/11/2016	14	1	1
6609	24	B	30/11/2016	10	1	1
6609	24	B	01/12/2016	11	1	1
6609	24	B	03/12/2016	9	1	1
6609	24	B	04/12/2016	9	1	1
6609	24	B	05/12/2016	9	1	1
6609	24	B	06/12/2016	11	1	1
6609	24	B	07/12/2016	9	1	1
6609	24	B	08/12/2016	13	1	1
6609	24	B	09/12/2016	13	1	1
6609	24	B	10/12/2016	9	1	1
6609	24	B	12/12/2016	8	1	1
6609	24	B	12/12/2016	9	1	1
6609	24	B	13/12/2016	11	1	1
6609	24	B	15/12/2016	11	1	1
7377	25	B	17/11/2016	9	1	1
7377	25	B	18/11/2016	9	1	1
7377	25	B	19/11/2016	8	1	1
7377	25	B	20/11/2016	8	1	1
7377	25	B	21/11/2016	8	1	1
7377	25	B	22/11/2016	8	1	1
7377	25	B	23/11/2016	9	1	1
7377	25	B	24/11/2016	8	1	1
7377	25	B	25/11/2016	9	1	1
7377	25	B	26/11/2016	11	1	1
7377	25	B	27/11/2016	11	1	1
7377	25	B	28/11/2016	9	1	1
7377	25	B	29/11/2016	14	1	1
7377	25	B	30/11/2016	10	1	1
7377	25	B	02/12/2016	8	1	1
7377	25	B	03/12/2016	9	1	1
7377	25	B	04/12/2016	9	1	1
7377	25	B	05/12/2016	9	1	1
7377	25	B	06/12/2016	11	1	1
7377	25	B	07/12/2016	9	1	1
7377	25	B	08/12/2016	13	1	1
7377	25	B	09/12/2016	13	1	1
7377	25	B	10/12/2016	9	1	1
7377	25	B	11/12/2016	9	1	1
7377	25	B	12/12/2016	9	1	1
7377	25	B	13/12/2016	11	1	1
7377	25	B	15/12/2016	11	1	1
7392	26	B	21/11/2016	8	1	1
7392	26	B	22/11/2016	8	1	1
7392	26	B	23/11/2016	9	1	1
7392	26	B	24/11/2016	8	1	1
7392	26	B	25/11/2016	9	1	1
7392	26	B	26/11/2016	11	1	1
7392	26	B	27/11/2016	11	1	1
7392	26	B	28/11/2016	9	1	1
7392	26	B	29/11/2016	14	1	1
7392	26	B	30/11/2016	10	1	1
7392	26	B	01/12/2016	11	1	1
7392	26	B	02/12/2016	8	1	1
7392	26	B	03/12/2016	9	1	1
7392	26	B	04/12/2016	9	1	1
7392	26	B	05/12/2016	9	1	1
7392	26	B	06/12/2016	11	1	1
7392	26	B	07/12/2016	9	1	1
7392	26	B	08/12/2016	13	1	1
7392	26	B	09/12/2016	13	1	1
7392	26	B	10/12/2016	9	1	1
7392	26	B	11/12/2016	9	1	1
7392	26	B	12/12/2016	9	1	1
7392	26	B	13/12/2016	11	1	1
7392	26	B	15/12/2016	11	1	1
6887	27	A	23/11/2016	9	1	1
6887	27	A	24/11/2016	8	1	1
6887	27	A	25/11/2016	9	1	1
6887	27	A	26/11/2016	11	1	1
6887	27	A	27/11/2016	11	1	1
6887	27	A	28/11/2016	9	1	1
6887	27	A	29/11/2016	14	1	1
6887	27	A	30/11/2016	9	1	1
6887	27	A	30/11/2016	10	1	1
6887	27	A	02/12/2016	8	1	1
6887	27	A	03/12/2016	9	1	1
6887	27	A	04/12/2016	9	1	1
6887	27	A	05/12/2016	9	1	1
6887	27	A	06/12/2016	11	1	1
6887	27	A	07/12/2016	9	1	1
6887	27	A	09/12/2016	13	1	1
6887	27	A	11/12/2016	9	1	1
6887	27	A	12/12/2016	9	1	1
6887	27	A	13/12/2016	11	1	1
6887	27	A	14/12/2016	10	1	1
6887	27	A	15/12/2016	11	1	1
6899	30	A	25/11/2016	9	1	1
6899	30	A	26/11/2016	11	1	1
6899	30	A	27/11/2016	11	1	1
6899	30	A	28/11/2016	9	1	1
6899	30	A	29/11/2016	14	1	1
6899	30	A	30/11/2016	9	1	1
6899	30	A	30/11/2016	10	1	1
6899	30	A	02/12/2016	8	1	1
6899	30	A	03/12/2016	9	1	1
6899	30	A	04/12/2016	9	1	1
6899	30	A	05/12/2016	9	1	1
6899	30	A	06/12/2016	11	1	1
6899	30	A	07/12/2016	9	1	1
6899	30	A	08/12/2016	12	1	1
6899	30	A	08/12/2016	13	1	1
6899	30	A	09/12/2016	13	1	1
6899	30	A	11/12/2016	9	1	1
6899	30	A	12/12/2016	9	1	1
6899	30	A	13/12/2016	11	1	1
6899	30	A	14/12/2016	10	1	1
6899	30	A	15/12/2016	10	1	1
6899	30	A	15/12/2016	11	1	1
7367	31	B	23/11/2016	9	1	1
7367	31	B	24/11/2016	8	1	1
7367	31	B	25/11/2016	9	1	1
7367	31	B	26/11/2016	11	1	1
7367	31	B	27/11/2016	11	1	1
7367	31	B	28/11/2016	9	1	1
7367	31	B	29/11/2016	14	1	1
7367	31	B	30/11/2016	9	1	1
7367	31	B	30/11/2016	10	1	1
7367	31	B	02/12/2016	8	1	1
7367	31	B	03/12/2016	9	1	1
7367	31	B	04/12/2016	9	1	1
7367	31	B	05/12/2016	9	1	1
7367	31	B	06/12/2016	11	1	1
7367	31	B	07/12/2016	9	1	1
7367	31	B	08/12/2016	13	1	1
7367	31	B	09/12/2016	13	1	1
7367	31	B	10/12/2016	9	1	1
7367	31	B	11/12/2016	9	1	1
7367	31	B	12/12/2016	9	1	1
7367	31	B	13/12/2016	11	1	1
7367	31	B	14/12/2016	10	1	1
7367	31	B	15/12/2016	11	1	1
7234	33	S+	01/12/2016	11	1	1
7234	33	S+	04/12/2016	9	1	1
7234	33	S+	06/12/2016	11	1	1
7234	33	S+	07/12/2016	9	1	1
7234	33	S+	08/12/2016	13	1	1
7234	33	S+	09/12/2016	13	1	1
7234	33	S+	11/12/2016	9	1	1
7234	33	S+	12/12/2016	9	1	1
7234	33	S+	13/12/2016	11	1	1
7234	33	S+	15/12/2016	11	1	1
7284	34	A	25/11/2016	9	1	1
7284	34	A	26/11/2016	11	1	1
7284	34	A	27/11/2016	10	1	1
7284	34	A	27/11/2016	11	1	1
7284	34	A	29/11/2016	14	1	1
7284	34	A	30/11/2016	9	1	1
7284	34	A	30/11/2016	10	1	1
7284	34	A	01/12/2016	11	1	1
7284	34	A	03/12/2016	8	1	1
7284	34	A	03/12/2016	9	1	1
7284	34	A	05/12/2016	9	1	1
7284	34	A	06/12/2016	10	1	1
7284	34	A	06/12/2016	11	1	1
7284	34	A	08/12/2016	12	1	1
7284	34	A	08/12/2016	13	1	1
7284	34	A	09/12/2016	13	1	1
7284	34	A	11/12/2016	9	1	1
7284	34	A	12/12/2016	9	1	1
7284	34	A	13/12/2016	10	1	1
